year,source_country_region,dest_country_region,s2d_d2s_ratio,yoy_change
2020,Denmark,United Kingdom,0.659939455,0.020948303
2021,Denmark,United Kingdom,0.606936416,-0.080315002
2022,Denmark,United Kingdom,0.762996942,0.257128295
2019,Denmark,United States,0.932444444,
2020,Denmark,United States,0.636174636,-0.317734542
2021,Denmark,United States,0.561403509,-0.117532393
2022,Denmark,United States,0.990369181,0.764095104
2020,Ecuador,Spain,1.358695652,
2021,Ecuador,Spain,1.942122186,0.429401929
2022,Ecuador,Spain,2.224489796,0.145391269
2020,Ecuador,United States,1.176007866,
2021,Ecuador,United States,1.762711864,0.49889462
2022,Ecuador,United States,1.992079208,0.130121858
2019,Egypt,Saudi Arabia,1.470350404,
2020,Egypt,Saudi Arabia,0.812085308,-0.447692669
2021,Egypt,Saudi Arabia,1.03055342,0.269021136
2022,Egypt,Saudi Arabia,1.908411665,0.851831868
2019,Egypt,United Arab Emirates,1.676300578,
2020,Egypt,United Arab Emirates,1.238593432,-0.261114953
2021,Egypt,United Arab Emirates,1.618831943,0.30699219
2022,Egypt,United Arab Emirates,2.266346882,0.399988981
2020,Egypt,United Kingdom,1.327338129,
2021,Egypt,United Kingdom,1.632850242,0.230169017
2022,Egypt,United Kingdom,1.929012346,0.181377383
2020,Egypt,United States,1.180842912,
2021,Egypt,United States,1.319268636,0.117226197
2022,Egypt,United States,1.658144631,0.256866559
2020,Finland,Germany,0.964941569,
2021,Finland,Germany,0.864321608,-0.104275704
2022,Finland,Germany,1.145648313,0.325488455
2019,Finland,India,0.841194969,
2020,Finland,India,1.064285714,0.265206943
2020,Finland,Sweden,0.915052161,
2021,Finland,Sweden,0.90922619,-0.006366818
2022,Finland,Sweden,1.122807018,0.234903954
2020,Finland,United Kingdom,0.584258325,
2022,Finland,United Kingdom,0.820967742,
2019,Finland,United States,1.108626198,
2020,Finland,United States,0.772903226,-0.302827926
2021,Finland,United States,0.785602504,0.016430619
2022,Finland,United States,1.089285714,0.386560899
2020,France,Algeria,0.16110938,
2021,France,Algeria,0.184245221,0.143603315
2022,France,Algeria,0.180571109,-0.019941425
2019,France,Australia,1.020506634,
2020,France,Australia,0.648076092,-0.364946714
2021,France,Australia,0.64921466,0.001756843
2022,France,Australia,1.524308866,1.347927366
2019,France,Belgium,1.098539012,
2020,France,Belgium,1.127593819,0.02644859
2021,France,Belgium,1.173021236,0.040287039
2022,France,Belgium,1.19246363,0.016574631
2020,France,Brazil,0.572139303,
2021,France,Brazil,0.607214429,0.061305219
2022,France,Brazil,0.557675629,-0.0815837
2019,France,Canada,1.20839122,
2020,France,Canada,1.000593472,-0.171962312
2021,France,Canada,1.455069124,0.454206094
2022,France,Canada,2.156762093,0.482240298
2019,France,China,0.391247551,
2020,France,China,0.846798324,1.164354315
2021,France,China,0.650322581,-0.232021885
2022,France,China,0.506578947,-0.221034357
2019,France,Germany,1.163486186,
2020,France,Germany,1.27029438,0.091800139
2021,France,Germany,1.26060464,-0.007627948
2022,France,Germany,1.243773419,-0.013351705
2019,France,India,0.3454039,
2020,France,India,0.550016841,0.592387466
2021,France,India,0.526261937,-0.043189411
2022,France,India,0.463460337,-0.11933525
2020,France,Ireland,0.828810021,
2021,France,Ireland,0.925614035,0.116798798
2022,France,Ireland,1.236376504,0.335736557
2019,France,Italy,0.651592357,
2020,France,Italy,0.784251585,0.203592363
2021,France,Italy,0.836330467,0.066405836
2022,France,Italy,0.739917157,-0.115281355
2020,France,Japan,0.882418813,
2021,France,Japan,0.82422452,-0.065948609
2022,France,Japan,1.444625407,0.752708603
2019,France,Luxembourg,1.673020528,
2020,France,Luxembourg,2.282089552,0.364053527
2021,France,Luxembourg,1.823869611,-0.200789641
2022,France,Luxembourg,1.84092901,0.009353409
2019,France,Mexico,0.549753695,
2020,France,Mexico,0.683076923,0.242514475
2021,France,Mexico,0.735955056,0.077411681
2022,France,Mexico,0.826996198,0.123704757
2019,France,Morocco,0.084419263,
2020,France,Morocco,0.220373994,1.61047047
2021,France,Morocco,0.272458279,0.236344968
2022,France,Morocco,0.276700111,0.015568741
2020,France,Netherlands,1.285864979,
2021,France,Netherlands,1.296924708,0.008601004
2022,France,Netherlands,1.289893617,-0.005421357
2020,France,Poland,0.983193277,
2021,France,Poland,1.033925687,0.05159963
2022,France,Poland,0.742888403,-0.281487623
2020,France,Portugal,1.176313446,
2021,France,Portugal,1.140822785,-0.030171092
2022,France,Portugal,1.081619938,-0.051894867
2020,France,Singapore,0.666112957,
2021,France,Singapore,0.638599811,-0.041304025
2022,France,Singapore,1.180368098,0.848369007
2019,France,Spain,1.073807157,
2020,France,Spain,0.983945346,-0.083685241
2021,France,Spain,1.056137725,0.073370314
2022,France,Spain,1.103677222,0.045012593
2020,France,Sweden,1.18315508,
2021,France,Sweden,1.411140584,0.192692832
2022,France,Sweden,1.392592593,-0.013143971
2019,France,Switzerland,1.610887637,
2020,France,Switzerland,1.879363253,0.166663155
2021,France,Switzerland,2.086314938,0.11011798
2022,France,Switzerland,2.227555556,0.067698608
2020,France,Tunisia,0.228285306,
2021,France,Tunisia,0.259455873,0.136542153
2022,France,Tunisia,0.219879518,-0.152535975
2022,France,Turkey,0.578813559,
2020,France,United Arab Emirates,0.844413982,
2021,France,United Arab Emirates,1.263260026,0.496019787
2022,France,United Arab Emirates,1.50483559,0.19123186
2019,France,United Kingdom,0.652265227,
2020,France,United Kingdom,0.790757064,0.212324422
2021,France,United Kingdom,0.72918842,-0.077860379
2022,France,United Kingdom,0.972686801,0.333930675
2019,France,United States,1.01478186,
2020,France,United States,0.775608686,-0.235689248
2021,France,United States,0.832221036,0.072990866
2022,France,United States,1.260905463,0.515108858
2019,Germany,Australia,0.780298121,
2020,Germany,Australia,0.602008457,-0.228489162
2021,Germany,Australia,0.70044843,0.163519254
2022,Germany,Australia,1.272646536,0.816902546
2019,Germany,Austria,1.138763815,
2020,Germany,Austria,1.233153256,0.082887636
2021,Germany,Austria,1.253991721,0.01689852
2022,Germany,Austria,1.298063812,0.035145441
2019,Germany,Belgium,0.957947855,
2020,Germany,Belgium,0.898854962,-0.061686963
2021,Germany,Belgium,0.870469799,-0.031579247
2022,Germany,Belgium,1.01417004,0.165083547
2020,Germany,Brazil,0.423287671,
2021,Germany,Brazil,0.456760049,0.079077138
2022,Germany,Brazil,0.41690868,-0.087247929
2019,Germany,Canada,0.712106768,
2020,Germany,Canada,0.75967026,0.066792641
2021,Germany,Canada,0.955329154,0.257557659
2022,Germany,Canada,1.315717227,0.37723969
2020,Germany,China,0.610579345,
2021,Germany,China,0.594390507,-0.026513897
2022,Germany,China,0.722395508,0.215355057
2019,Germany,Denmark,1.029783394,
2020,Germany,Denmark,1.090083799,0.058556397
2021,Germany,Denmark,1.118858954,0.026397196
2022,Germany,Denmark,1.325174825,0.184398463
2020,Germany,Finland,1.03633218,
2021,Germany,Finland,1.156976744,0.116414955
2022,Germany,Finland,0.872868217,-0.245561139
2019,Germany,France,0.859485924,
2020,Germany,France,0.787219101,-0.08408145
2021,Germany,France,0.793270125,0.007686581
2022,Germany,France,0.804004962,0.013532386
2021,Germany,Greece,0.549767442,
2022,Germany,Greece,0.507101086,-0.077608008
2019,Germany,India,0.24880919,
2020,Germany,India,0.319898734,0.285719124
2021,Germany,India,0.274969174,-0.140449322
2022,Germany,India,0.207110011,-0.246788257
2020,Germany,Ireland,0.653693407,
2021,Germany,Ireland,0.647605432,-0.009313196
2022,Germany,Ireland,0.929655172,0.435527137
2019,Germany,Italy,0.568168346,
2020,Germany,Italy,0.604857013,0.064573585
2021,Germany,Italy,0.636016241,0.051515031
2022,Germany,Italy,0.60738052,-0.045023568
2020,Germany,Japan,0.788381743,
2022,Germany,Japan,1.048850575,
2020,Germany,Luxembourg,1.591355599,
2021,Germany,Luxembourg,1.102766798,-0.30702679
2022,Germany,Luxembourg,1.209331652,0.096634079
2019,Germany,Mexico,0.450348432,
2020,Germany,Mexico,0.496855346,0.103268737
2021,Germany,Mexico,0.495350803,-0.003028131
2022,Germany,Mexico,0.609775641,0.230997582
2020,Germany,Netherlands,0.946485623,
2021,Germany,Netherlands,0.949271021,0.002942884
2022,Germany,Netherlands,1.06313926,0.119953351
2019,Germany,Poland,0.559668156,
2020,Germany,Poland,0.690286251,0.233384897
2021,Germany,Poland,0.649023861,-0.059775766
2022,Germany,Poland,0.540199531,-0.167673852
2020,Germany,Portugal,0.872923588,
2021,Germany,Portugal,0.923647146,0.058107673
2022,Germany,Portugal,0.991909385,0.073905105
2020,Germany,Romania,0.407166124,
2021,Germany,Romania,0.474097331,0.164383046
2022,Germany,Romania,0.566666667,0.195253863
2020,Germany,Singapore,0.578708947,
2022,Germany,Singapore,0.683572216,
2019,Germany,Spain,0.879429008,
2020,Germany,Spain,0.712978217,-0.189271436
2021,Germany,Spain,0.81195044,0.138815212
2022,Germany,Spain,0.925650558,0.140033323
2020,Germany,Sweden,1.001328904,
2021,Germany,Sweden,1.089403974,0.087958182
2022,Germany,Sweden,1.115558425,0.024008037
2019,Germany,Switzerland,1.419987738,
2020,Germany,Switzerland,1.616098353,0.13810726
2021,Germany,Switzerland,1.81975245,0.126015905
2022,Germany,Switzerland,2.018816539,0.109390752
2019,Germany,Turkey,0.220406905,
2020,Germany,Turkey,0.359329252,0.630299432
2021,Germany,Turkey,0.288639246,-0.196727668
2022,Germany,Turkey,0.302546348,0.048181604
2022,Germany,Ukraine,0.205784526,
2020,Germany,United Arab Emirates,0.486780715,
2021,Germany,United Arab Emirates,0.624919717,0.283780761
2022,Germany,United Arab Emirates,0.895652174,0.433227579
2019,Germany,United Kingdom,0.531124673,
2020,Germany,United Kingdom,0.632747934,0.191335982
2021,Germany,United Kingdom,0.699019361,0.104735905
2022,Germany,United Kingdom,0.949542596,0.358392411
2019,Germany,United States,0.900906667,
2020,Germany,United States,0.708465021,-0.21360886
2021,Germany,United States,0.881592344,0.244369613
2022,Germany,United States,1.098570724,0.24612099
